web-scraper-order,web-scraper-start-url,urls,urls-href
"1756773286-90","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=635013001_US_EN"
"1756773286-91","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=635013001_MX_ES"
"1756773286-92","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=635015001_US_EN"
"1756773286-93","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=635015001_MX_ES"
"1756773286-94","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=635017001_US_EN"
"1756773286-95","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=635017001_MX_ES"
"1756773286-96","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=635023001_US_EN"
"1756773286-97","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=635023001_MX_ES"
"1756773286-98","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10101.pdf"
"1756773286-99","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=637142001_US_EN"
"1756773286-100","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=637142001_MX_ES"
"1756773286-101","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10238.pdf"
"1756773286-102","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633626001_US_EN"
"1756773286-103","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633626001_MX_ES"
"1756773286-104","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633621001_US_EN"
"1756773286-105","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633621001_MX_ES"
"1756773286-106","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633622001_US_EN"
"1756773286-107","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633622001_MX_ES"
"1756773286-108","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10030.pdf"
"1756773286-109","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633623001_US_EN"
"1756773286-110","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633623001_MX_ES"
"1756773286-111","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10203.pdf"
"1756773286-112","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633606001_US_EN"
"1756773286-113","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633606001_MX_ES"
"1756773286-114","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633607001_US_EN"
"1756773286-115","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633607001_MX_ES"
"1756773286-116","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633608001_US_EN"
"1756773286-117","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633608001_MX_ES"
"1756773286-118","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633609001_US_EN"
"1756773286-119","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633609001_MX_ES"
"1756773286-120","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633610001_US_EN"
"1756773286-121","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633610001_MX_ES"
"1756773286-122","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633611001_US_EN"
"1756773286-123","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633611001_MX_ES"
"1756773286-124","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10232.pdf"
"1756773286-125","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633618001_US_EN"
"1756773286-126","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633618001_MX_ES"
"1756773286-127","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10149.pdf"
"1756773286-128","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633602001_US_EN"
"1756773286-129","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633602001_MX_ES"
